domain,date,title,emotion
adanahaber.net,2023-01-26,Kozan'da cenazeye giden aile kaza yaptı,sadness
adanahaber.net,2023-01-26,Otoyolda lastiği patlayan otomobil faciaya neden oluyordu,fear
adanahaber.net,2023-01-27,"Galibiyete sevinemediler, soyunma odasındaki eşyaları çalındı",anger
adanahaber.net,2023-01-27,BAŞIBOŞ STADDA HIRSIZLIK ŞOKU,anger
adanahaber.net,2023-01-28,GEDİKLİE GÖLETİ İNŞAASINDA SONA YAKLAŞIYOR,hope
adanahaber.net,2023-01-28,SOKAK KÖPEKLERİ DEHŞET SAÇTI,fear
adanahaber.net,2023-01-29,Başkan Akay'dan tarım üretimi atağı,
adanahaber.net,2023-01-29,Seyhan kırsalının tarım üretimi masaya yatırıldı,
adanahaber.net,2023-01-30,Adana Demirspor - Fenerbahçe maçının biletleri satışa çıktı,happiness
adanahaber.net,2023-01-30,Uzun namlulu silahla baskına 4 tutuklama,fear
adanahaber.net,2023-01-31,AKARYAKIT İSTASYONU BASKININA 4 TUTUKLAMA,anger
adanahaber.net,2023-01-31,GÖRME ENGELLİ PİYANİSTE 'ÜSTÜN BAŞARI' BELGESİ,happiness
adanahaber.net,2023-02-01,FACİA GİBİ! OTOMOBİL POZANTI ÇAKIT SUYUNA UÇTU,fear
adanahaber.net,2023-02-01,ADANALI ESNAFA DEAŞ DOLANDIRICILIĞI,
adanahaber.net,2023-02-02,KARATAŞ DENİZYOLU PROJESİNDE GERİ SAYIM BAŞLADI,
adanahaber.net,2023-02-02,"TÜRKİYE'NİN GURURU OLDULAR, ADANA'NIN HABERİ YOK!",
adanahaber.net,2023-02-03,Adana’da sahte içki operasyonu: 2 gözaltı,
adanahaber.net,2023-02-03,"Ağabeyi, 1993 yılında PKK’ya katılan kardeşine teslim ol çağrısı yaptı",fear
adanahaber.net,2023-02-04,Polis dezavantajlı çocukların yüzünü güldürdü,happiness
adanahaber.net,2023-02-04,"ÜÇ SAATLİK UYGULAMA SONUÇLARI: 61 ŞÜPHELİ, 8 TABANCA, 4 TÜFEK, 62 MERMİ, FİŞEK, ESRAR, HAP..",fear
adanahaber.net,2023-02-05,GENÇ VİRTÜÖZ ÇDSO'DA KONSER VERDİ,
adanahaber.net,2023-02-05,CAMİDE ASKIDA ÇORAP UYGULAMASI,
adanahaber.net,2023-02-06,Adana’da 14 katlı binadan bir kişi sağ çıkartıldı,hope
adanahaber.net,2023-02-06,Hasarlı yapılar gün ağarınca ortaya çıktı,fear
adanahaber.net,2023-02-07,"En acı bekleyiş: Kızlarının yanına gitmişti, eşi enkaz altında kaldı",sadness
adanahaber.net,2023-02-07,Adana’da 8 katlı binanın yıkılma anı araç kamerasında,
adanahaber.net,2023-02-08,Mehmetçik’ten deprem bölgelerine yardım sortisi,hope
adanahaber.net,2023-02-08,Mehmetçik’ten deprem bölgelerine sorti,hope
adanahaber.net,2023-02-09,Depremzedeler Didim’de,
adanahaber.net,2023-02-09,Acılarına aldırış etmeden seferber oldular,hope
adanahaber.net,2023-02-10,Başsavcılık el koydu! Depremde ihmal soruşturması,anger
adanahaber.net,2023-02-10,Sinem Apartmanı’nın yıkılma anı kamerada,
adanahaber.net,2023-02-11,Hatay’a yardıma giden kamyon ve panelvan çarpıştı: 4 yaralı,sadness
adanahaber.net,2023-02-11,’65 kişiye mezar olan apartmanın müteahhidi kaçtı’ iddiası,
adanahaber.net,2023-02-12,Depremzede anne-oğul hastanede kavuştu,hope
adanahaber.net,2023-02-12,Depremden kurtulan anne-oğul hastanede kavuştu,happiness
adanahaber.net,2023-02-13,Kubilay Apartmanı’nda baba oğlun cenazesine ulaşıldı,sadness
adanahaber.net,2023-02-13,Sağlık Müdürü Nacar depremzedeleri hastanede ziyaret etti,hope
adanahaber.net,2023-02-14,Enkazdan kendi elleriyle çıkardığı kardeşini arıyor,sadness
adanahaber.net,2023-02-14,25 yıl arayla iki deprem gören bina ağır hasar aldı,sadness
adanahaber.net,2023-02-16,Depremzedeler KYK yurtlarıyla sıcak bir yuvaya kavuştu,happiness
adanahaber.net,2023-02-16,"TOKİ’de çizik bile yok, yanı başındaki binalar ağır hasarlı",sadness
adanahaber.net,2023-02-17,Ünlü yapı müteahhitlerine şok! 6 tutuklama.. Aralarında bir de siyasetçi yakını var!,
adanahaber.net,2023-02-17,Japonya’dan Türkiye’ye acil yardım ekibi,
adanahaber.net,2023-02-18,"Ersin Sucu yazdı: ""Bir çorba hikayesi!",
adanahaber.net,2023-02-19,Cumhurbaşkanına kurulan büyük tuzak,
adanahaber.net,2023-02-19,The big trap set for the president,fear
adanahaber.net,2023-02-20,Peş peşe depremler Adana’da vatandaşları sokağa döktü,fear
adanahaber.net,2023-02-20,Depremde hayatını kaybedenlerin mezarları yürek yaktı,sadness
adanahaber.net,2023-02-21,Kontrollü yıkılan minare 3 katlı evin üzerine düştü,fear
adanahaber.net,2023-02-21,"Ailesinden kimse kalmadı, Mobilyacı hakkını helal etmedi",sadness
adanahaber.net,2023-02-23,Baget yüzükler altın,
adanahaber.net,2023-02-23,Enkazda 63 saat kalan lise öğrencisi yaşadıklarını anlattı,
adanahaber.net,2023-02-24,Depremzedeleri dolandıran şahıs tutuklandı,anger
adanahaber.net,2023-02-24,Artçı sarsıntıda oluşan maden göçüğünde 1 kişi ağır yaralandı,fear
adanahaber.net,2023-02-27,Canlarını hiçe sayıp halat bağladılar,anger
adanahaber.net,2023-02-27,Depremde yarısı yıkılan apartmanın kontrollü yıkımına başlandı,sadness
adanahaber.net,2023-02-28,Kozan'da öğrenci ve öğretmenlerden örnek seferberlik,
adanahaber.net,2023-02-28,Adanalı kebapçıdan örnek davranış: Depremzede meslektaşına dükkan açtı,hope
adanahaber.net,2023-03-01,Azerbaycan kurtarma ekibi ülkelerine uğurlandı,
adanahaber.net,2023-03-01,Depremde ağır hasar alan bina kontrollü yıkıldı,sadness
adanahaber.net,2023-03-02,Seyhan Meclisi depremzedeler için tek yürek oldu,hope
adanahaber.net,2023-03-02,Kızını ve nişanlısını öldüren baba tutuklandı,anger
adanahaber.net,2023-03-03,20 günde 3 milyon 500 bin lira zam!,anger
adanahaber.net,2023-03-03,Adana’da kapkaç yapan iki zanlı tutuklandı,
adanahaber.net,2023-03-04,PES ARTIK! 20 günde 3 milyon 500 bin lira zam!,anger
adanahaber.net,2023-03-04,"Kar, eridi 300 metrelik fay kırığı ortaya çıktı",
adanahaber.net,2023-03-05,"Müteahhit çürük raporu aldı, depremde sağlam çıktı",hope
adanahaber.net,2023-03-05,Seyhan’da spor okulları kaldığı yerden devam ediyor,hope
adanahaber.net,2023-03-06,Basına ve Kamuoyuna 'Kınama Bildirisi',
adanahaber.net,2023-03-08,Ağır hasarlı bina yıkımına devam ediliyor,sadness
adanahaber.net,2023-03-08,"Depremzede ailenin aldığı kıyafette para çıktı, tereddüt etmeden iade ettiler",hope
adanahaber.net,2023-03-09,Adana’da 104 silah ele geçirildi,
adanahaber.net,2023-03-09,"Mahallenin geçim kaynağı oldu, çamaşır gibi kabuk kurutuyorlar",hope
adanahaber.net,2023-03-10,Dolmuşta yaşlı adamı soyan zanlı tutuklandı,anger
adanahaber.net,2023-03-10,Evinde yattığı sırada ağzından tabanca ile vuruldu,fear
adanahaber.net,2023-03-11,Adana’da suya iki ay yüzde 50 indirim kararı,
adanahaber.net,2023-03-11,"""Yolunu bulacak"" dediler; ""Başımın üstüne koydum"" dedi",
adanahaber.net,2023-03-13,Taksicinin katili yakalandı “sağır dilsiz” çıktı,anger
adanahaber.net,2023-03-13,Deprem sonrası Adana’da eğitime başlandı,
adanahaber.net,2023-03-14,İzmir Hava Limanında 'Özel Güvenlik Terörü: Nerde bu devlet?,anger
adanahaber.net,2023-03-14,Dost ve kardeş ülke Pakistan yara sarmaya devam ediyor,hope
adanahaber.net,2023-03-16,Adana'da korkutan deprem,fear
adanahaber.net,2023-03-16,İYİ Partililer Başkan Akay’ın konuğu oldu,happiness
adanahaber.net,2023-03-18,Fahiş zam yapan ev sahibi gözaltına alındı,anger
adanahaber.net,2023-03-18,PFDK Belhanda’ya 2 maç ceza verdi,anger
adanahaber.net,2023-03-20,"""Hırsızlığın da bir şerefi vardır, sen kimin çocuğusun?""",anger
adanahaber.net,2023-03-20,"NATO destek verdi, devamı gelecek",hope
adanahaber.net,2023-03-21,Adana Demirspor başkanı Murat Sancak istifa mı ediyor?,
adanahaber.net,2023-03-21,Bakan Kirişci: ”Çiftçinin pazarlama kaygısı olmayacak”,
adanahaber.net,2023-03-22,Sahur yapmadan oruç tutmak sağlıklı değil,
adanahaber.net,2023-03-22,Kepez’de Ramazan denetimi,
adanahaber.net,2023-03-23,Çukurova Basketbol Avrupa'da dörtlü finale kaldı,hope
adanahaber.net,2023-03-23,Çukurova Basketbol dörtlü finale kaldı,hope
adanahaber.net,2023-03-24,Toroslar’da camilerde Ramazan temizliği,hope
adanahaber.net,2023-03-24,Adana sokakları Ramazan davulcuları ile renklendi,happiness
adanahaber.net,2023-03-25,İddia dehşet verici. Emniyet Müdüründen sille tokat dayak!,anger
adanahaber.net,2023-03-26,"Diş hekimi Akyürek, İyi Parti’den milletvekili aday adayı oldu",hope
adanahaber.net,2023-03-27,Portakal Çiçeği Festivali,
adanahaber.net,2023-03-27,Yağ Hücreleriniz ile Gençleşebilirsiniz!,hope
adanahaber.net,2023-03-28,Obalar Müfrezesi Komutanı Şeyh Cemli Nardalı’nın hayatını kitaplaştı,hope
adanahaber.net,2023-03-28,Mersin’de 110 bin adet kaçak makaron ele geçirildi,
adanahaber.net,2023-03-30,Şehit aileleri ve gaziler iftar sofrasında bir araya geldi,hope
adanahaber.net,2023-03-30,Motosikletler kafa kafaya çarpıştı: 3 yaralı,fear
adanahaber.net,2023-03-31,Evlerinde uyuşturucu ele geçirilen 2 kişi tutuklandı,anger
adanahaber.net,2023-04-03,"Adana güne depremle uyandı: 4,3",
adanahaber.net,2023-04-03,Sabah saatlerinde deprem oldu,fear
adanahaber.net,2023-04-04,Yoğurdun kaymağını ihracatçı yiyecek,
adanahaber.net,2023-04-04,Deprem Sonrası Adana'da Müstakil Evlere büyük ilgi,hope
adanahaber.net,2023-04-05,Sağlık Sen üyeleri TOKİ müjdesi bekliyor,hope
adanahaber.net,2023-04-05,Mavi Lacivertli futbolcudan radikal karar!,
adanahaber.net,2023-04-08,TRT -AztV işbirliği yeni bir aşamada,
adanahaber.net,2023-04-08,Gülencilerin Türkiye ve Azerbaycan düşmanlığı bitmiyor,anger
adanahaber.net,2023-04-12,13 milyon lira karşılığında 1 paket makarna gönderdiler,anger
adanahaber.net,2023-04-12,Yenilik Partisi Milletvekili adayı Kaya’dan ezber bozan iddia! “Bunları tanıyan kaç kişi var?”,anger
adanahaber.net,2023-04-13,"""Öldüğünden haberim yoktu"" demişti! Çöp poşetinden çıktı",
adanahaber.net,2023-04-14,Bahçeli'yi kızdıran olay iddiası: Bakan Yanık...,
adanahaber.net,2023-04-14,İddia: Bahçeli'yi kızdıran olay: Bakan Yanık...,
adanahaber.net,2023-04-15,Groseri Marketten personeline büyük jest,happiness
adanahaber.net,2023-04-16,MHP'li Kanlı’dan Başkan Karalar’a : Burası Türk Milletinin Meclisi; Dağ Başı Değil!,anger
adanahaber.net,2023-04-16,Başbuğ Türkeş'in seçim şarkısını kızı Ayyüce kaptı,happiness
adanahaber.net,2023-04-17,Pürüzsüz Bir Görünüm Sizin de Hakkınız!,
adanahaber.net,2023-04-17,Zafer Partisi ‘Sandıktan endişeli’,
adanahaber.net,2023-04-19,Milli Emlak’ta şaibe iddiaları.. Muhtar İbrahim Kürklü ve...,
adanahaber.net,2023-04-19,DSİ’DE KÖTÜ GİDİŞAT SÜRÜYOR!..,
adanahaber.net,2023-04-20,Kozan Belediyesi iftar programı düzenledi,
adanahaber.net,2023-04-20,"Minibüs sulama kanalına düştü, itfaiye kurtardı",fear
adanahaber.net,2023-04-22,Pozantı Belediye Başkanı Mustafa Çay'a suç duyurusu,
adanahaber.net,2023-04-22,Hindistan Cevizi Yağı,
adanahaber.net,2023-04-23,AK Partili Fatma Güldemet Sarı'ya sevgi seli,happiness
adanahaber.net,2023-04-23,Adana Emniyetinden silah kaçakçılarına darbe: 'İki kadın iki erkek',
adanahaber.net,2023-04-25,Sağlık Çalışanları Vefa Gecesinde Buluşuyor,hope
adanahaber.net,2023-04-25,TİP Adana Milletvekili adaylarını tanıttı,
adanahaber.net,2023-04-26,Burası SARIÇAM! Davetle geldiler hastanelik oldular!,anger
adanahaber.net,2023-04-26,"Adana'da 4,1 büyüklüğünde deprem",
adanahaber.net,2023-04-27,"Zafer Partisi'nden TRT'ye: ""Taraf tutma Adil ol!""",anger
adanahaber.net,2023-04-27,Adana Barosunda ruhsat heyecanı,happiness
adanahaber.net,2023-04-28,Adana 15 Temmuz Şehitler Köprüsü açılıyor,
adanahaber.net,2023-05-01,Sinan Oğan: Selçuk Bayraktar’ı destekleyeceğiz,hope
adanahaber.net,2023-05-01,Adana'da Maganda kurşunu kocayı öldürdü. eşini ağır yaraladı,anger
adanahaber.net,2023-05-02,"Evini lağım suyu bastı, ASKİ'ye isyan etti",anger
adanahaber.net,2023-05-03,"Yereşen: ""3 Mayıs Türk Milliyetçileri için çok önem taşıyan bir gündür""",hope
adanahaber.net,2023-05-03,CHP’li Çelebi’den iftira içerikli afişe tepki!,
adanahaber.net,2023-05-04,MHP Adana'da tek yumruk! Muhteşem Buluşma!,happiness
adanahaber.net,2023-05-05,"Büyükşehir Sarıçam'da 40 bin metrekare park yapıyor, Sarıçam fideyle yetiniyor",hope
adanahaber.net,2023-05-05,"TEMSA 81 yeni araçla, Adana’nın yeşil dönüşümüne destek verecek",hope
adanahaber.net,2023-05-07,Rusya'dan flaş Adana hamlesi,
adanahaber.net,2023-05-07,Seyhan'dan Defne'ye kardeşlik köprüsü,
adanahaber.net,2023-05-08,Yardıma gelen 112 ekibine saldırdı: Nedeni utandırdı,anger
adanahaber.net,2023-05-08,Naci Görür'den korkutan deprem tahmini,
adanahaber.net,2023-05-09,Merkez Sağ Parti Genel Başkanı Ömer Bilgin'in 'Engelliler Haftası' mesajı,
adanahaber.net,2023-05-09,Ceyhan'da 'Annelik yaptığı genç tarafından öldürüldü,sadness
adanahaber.net,2023-05-10,Keskin Oto'dan araç sahiplerine önemli uyarı,
adanahaber.net,2023-05-10,Sahneden düşen Kibariye hastanelik oldu,sadness
adanahaber.net,2023-05-11,Dolmuş şoförüne silahlı saldırı,anger
adanahaber.net,2023-05-11,Çiftçilik yaparken çeteye de liderlik ediyordu! Hurda arabalar üzerinden akılalmaz tuzak,
adanahaber.net,2023-05-12,"22. Türkiye Cumhuriyeti Başbakanı Tansu Çiller'in ""Engelliler Haftası"" Mesajı",
adanahaber.net,2023-05-13,"Başbuğ Alparslan Türkeş’in kızı, İYİ Parti Adana Milletvekili Adayı Dr. Ayyüce Türkeş, ""MHP'nin ben de sadece adı kaldı!",anger
adanahaber.net,2023-05-15,Adana Cumhurbaşkanlığı ve milletvekilliği seçim sonuçları,
adanahaber.net,2023-05-15,Oy kullanırken eşini aşkla tebrik etti,happiness
adanahaber.net,2023-05-16,Hurma bahçesinde boğazı kesilmiş erkek cesedi bulundu. Polis ekipleri alarma geçti,fear
adanahaber.net,2023-05-16,"Başbuğ Alparslan Türkeş’in kızı, İYİ Parti Adana Milletvekili Dr. Ayyüce Türkeş, ""MHP'nin ben de sadece adı kaldı!",anger
adanahaber.net,2023-05-17,Mobilyalarda kullanılan teker modelleri neler?,
adanahaber.net,2023-05-18,Adana Organize Sanayi Bölgesinde Korkutan Yangın,
adanahaber.net,2023-05-18,Yemin edip savunma ordusuna katıldılar,hope
adanahaber.net,2023-05-19,Karalar'dan Akgedik'e 'KANTARIN TOPUZU' kaçtı dedirten yanıt,
adanahaber.net,2023-05-19,Karalar'dan Akgedik'e 'KANTARIN TOPUZU'nu kaçırtan yanıt!,
adanahaber.net,2023-05-20,Karalar'dan 'oy baskısı' iddiası itirafa dönüştü,anger
adanahaber.net,2023-05-21,"Ak Partili Mehmet Ay: ""Ahlaksız Teklifi Karalar'da Kabul Etti, Hesabı sorulacak",anger
adanahaber.net,2023-05-23,Adanalı İş Adamı Erkut Çavuş'tan Takdir Toplayan Hareket.,
adanahaber.net,2023-05-23,Ankara Antalya Uçak Bileti,
adanahaber.net,2023-05-24,Online Terapi ve Online Terapinin Çeşitleri,
adanahaber.net,2023-05-25,"""Meral Akşener neden masadan kalktı, Ne oldu da döndü? Tüm cevaplar video'da",
adanahaber.net,2023-05-25,"""Meral Akşener neden masadan kalktı, Niye döndü?""",
adanahaber.net,2023-05-26,Millet Buluşması'nda uyuşturucu konuşuldu,disgust
adanahaber.net,2023-05-26,Adana Demirspor UEFA Lisansı almaya hak kazandı,hope
adanahaber.net,2023-05-27,Gündüz başlayıp gece devam eden kavgada son durum,
adanahaber.net,2023-05-27,"Depremzede konteynerları Şambayad Mahallesinde: ""Sokakta kalmaktansa burası saraydır benim için""",hope
adanahaber.net,2023-05-28,Kızları ile tartışan damada yaylım ateşi,anger
adanahaber.net,2023-05-28,Benzinli motor yıkanırsa neler olur?,
adanahaber.net,2023-05-29,"Parasını ödediği ürünleri alıcısı yerine AFAD'a gönderdiler: ""Şikayetçiyim!""",anger
adanahaber.net,2023-05-29,Gazeteci Hasan Hüseyin Türk’ün Mutlu günü,happiness
adanahaber.net,2023-05-30,Ortodontik Bozukluklar Tedavi Edilmezse Ne Olur?,
adanahaber.net,2023-05-30,"Bir muhtara dair ahlaki gözlemler, Lafın tamamı çocuğa anlatılır",hope
adanahaber.net,2023-06-02,"Sağlık-Sen ve Öz-Sağlık Sen’den ortak açıklama: ""Kapsam dışı kalan ilçeler yardıma dahil edilsin""",
adanahaber.net,2023-06-02,Murat Sancak'tan kıyamet kopartacak 'Şike İddiası',
adanahaber.net,2023-06-05,"Büyükşehir'de Skandal, Başkan Karalar'ın yokluğunu beklediler, sonrası malum!",anger
adanahaber.net,2023-06-05,Hırsızın banyo keyfi başlamadan bitti,anger
adanahaber.net,2023-06-08,Adana'da Ağaç Katliamı ! Failler Kamu Personeli iddiası!,
adanahaber.net,2023-06-08,Su Arıtma İşlemleri,
adanahaber.net,2023-06-09,Ağaç Katliamı ! Failler Kamu Personeli iddiası!,anger
adanahaber.net,2023-06-09,"""İstihbarat düğün salonundan; 2.5 milyon lira hiç oldu""",anger
adanahaber.net,2023-06-11,Adana'da otomobil sulama kanalına uçtu: Yaralılar var!,fear
adanahaber.net,2023-06-11,Deniz olmayınca yarışmalara kanalda hazırlanıyor,hope
adanahaber.net,2023-06-12,Adana Demirspor'da UEFA Avrupa Konferans Ligi'ne katılma sevinci yaşanıyor .,happiness
adanahaber.net,2023-06-12,"""Yılanın başı Sarıçam'da mı"" (1)",
adanahaber.net,2023-06-14,Mum Sanat İle Buluşuyor,
adanahaber.net,2023-06-16,2 aylık scotish yavru sahiplendirilecektir,
adanahaber.net,2023-06-16,"Parasızlıktan yakınan Başkan Karalar'a tepki yağdı: ""Aleyna Tilki ağlamasın, işçiler ağlasın!""",anger
adanahaber.net,2023-06-17,Engelli raporlarının oranını artırma vaadiyle 750 bin TL dolandırdılar,anger
adanahaber.net,2023-06-17,2 aylık Scottish yavru sahiplendirilecektir,
adanahaber.net,2023-06-19,Seyhan Belediyesi'nin HDP'li başkan yardımcısı Buyruk'un örgüt üyelerinin yakınlarını işe aldırdığı ortaya çıktı,anger
adanahaber.net,2023-06-19,Yılanın Başı Sarıçam'da mı? (2),
adanahaber.net,2023-06-20,"Adanalı Eyüpcan Delibalta, yüzlerce çocuğa pasta ikram ederek yüzlerinde tebessüm oluşturdu.",happiness
adanahaber.net,2023-06-21,Ülkü Ocakları başkanı davasında karar çıktı. 10 Yıl!,anger
adanahaber.net,2023-06-21,Dünyanın en güzel 13'üncü tatil koyunu betona çevirdiler: Tisan elden gidiyor,sadness
adanahaber.net,2023-06-22,Adana Demirspor ve Trabzonspor dünya yıldızı için yarışıyor,hope
adanahaber.net,2023-06-22,Adana Demirspor ve Trabzonspar dünya yıldızı için yarışıyor,hope
adanahaber.net,2023-06-23,Trilyonluk Rant Bölgesindeki ormanlık alanda çıkan yangın kontrol altına alındı.,hope
adanahaber.net,2023-06-23,Trilyonluk Rant Bölgesinde çıkan yangın yeni bir oyun mu?,anger
adanahaber.net,2023-06-26,Merkez Sağ Parti Karaisalı İlçe Kongresi yapıldı,
adanahaber.net,2023-06-28,Merkez Sağ Parti Adana İl Başkanı Mahmut Yenel Kurban Bayramı münasebeti ile bir mesaj yayımladı.,
adanahaber.net,2023-06-28,Adana'da sıra dışı bir evlilik teklifi,
adanahaber.net,2023-06-29,AOSB'nin Gurur Tablosu: Listede 16 Firma var,
adanahaber.net,2023-06-30,Balotelli'den sonra Cavani! Adana Demirspor'da Murat Sancak'tan bir bomba transfer daha,happiness
adanahaber.net,2023-06-30,Patrick Kluivert Adana'da,
adanahaber.net,2023-07-01,"Mersin'de İğrenç Olay! 71 yaşında çocuk pornosu izlerken yakalandı, Suçtan kurtulmak için komşusunu ayarttı",disgust
adanahaber.net,2023-07-05,MSP Genel Başkanı Bilgin müjdeyi Adana’da verdi.,
adanahaber.net,2023-07-05,Yeni sezonda hedef büyük!,hope
adanahaber.net,2023-07-06,Adana'da kavurucu sıcak,
adanahaber.net,2023-07-06,Kardeşleriyle kavga etti önce evini sonra motosikletini yaktı.,anger
adanahaber.net,2023-07-10,50'nci yıldönümlerini nikah tazeleyerek kutladılar,happiness
adanahaber.net,2023-07-10,Karaisalı Kanyon'da can pazarı,
adanahaber.net,2023-07-11,Ümit Birol hayatını kaybetti,sadness
adanahaber.net,2023-07-11,Bekir Nennioğlu Memur Sen İl Temsilciliğine seçildi,
adanahaber.net,2023-07-12,Dilek hemşire zaferini balonlarla kutladı,happiness
adanahaber.net,2023-07-12,Adana Organize Sanayi'de Gurur Günü,happiness
adanahaber.net,2023-07-13,"CHP Adana İl Başkanı Çelebi: ""Hükumet vatandaşları soyuyor""",anger
adanahaber.net,2023-07-15,Valorant Random Hesap Satın Al,hope
adanahaber.net,2023-07-15,Adana Polisinin Torbacı Operasyonları hız kesmiyor,hope
adanahaber.net,2023-07-16,Saldırganlar Ülkü Ocaklı mıydı?,
adanahaber.net,2023-07-16,"Saldırganlar Ülkü Ocaklı mıydı, Kimler azmettırdi?",
adanahaber.net,2023-07-17,"Çukurova'nın en güzel semti pislik içinde yüzüyor ""SONER'e SONAR kıyağı""",disgust
adanahaber.net,2023-07-17,Milli Emlak Personeline suç duyurusu,anger
adanahaber.net,2023-07-18,Azeri kadının iftira ve vekalet savaşı,
adanahaber.net,2023-07-18,"Çukurova'nın en güzel semti pislik içinde | ""SONER'e SONAR kıyağı""",disgust
adanahaber.net,2023-07-20,Suriyeliler işgal etti. Burası Mersin plajı. Tek bir Türk yok,anger
adanahaber.net,2023-07-21,Bagajda 27 Kilo Esrar Ele Geçirildi.,
adanahaber.net,2023-07-22,Python Eğitimi ile Başarıya Giden Yolculuğa Adımınızı Atın,
adanahaber.net,2023-07-22,"""Müdür oldun yürüyüşün değişti""",happiness
adanahaber.net,2023-07-23,Kelebek Mobilya ayıplı ürün iddiası,anger
adanahaber.net,2023-07-23,Eminevim Bunları Yaşattın Ya,anger
adanahaber.net,2023-07-24,"Kebapçı Cihangir yaptı, cezası sahibine kaldı",
adanahaber.net,2023-07-24,Eğitim camiası dışarıya kız vermedi,anger
adanahaber.net,2023-07-25,"Kebapçı Cihangir yaptı, cezası sahibine mi kaldı?",
adanahaber.net,2023-07-25,Geçmiş olsun ADANA..,
adanahaber.net,2023-07-27,Hollanda'da İş Kurmak,
adanahaber.net,2023-07-27,SATA TAKİP BÜROSU,
adanahaber.net,2023-07-28,Memur-Sen Adana'da yeni yönetimini oluşturdu,
adanahaber.net,2023-07-30,Sarıçamlılar'dan Bilal Uludağ'a Veryansın | Ne Kaldırım Var Ne de Yol | Yattığın Yerden Kalk Artık!,
adanahaber.net,2023-07-30,"Adana BB'den garip duyuru | ""Sadece sallamak isteyenlere duyurulur""",
